position,player_team_tier,opponent_team_tier,is_home,component_type,multiplier,total_sample_size,num_seasons,seasons_covered,slice_avg,season_avg
DEF,2.0,3.0,1,bonus,0.9317,431,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.3248,0.3373
DEF,2.0,4.0,0,bonus,1.196,385,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.4,0.3453
DEF,2.0,4.0,1,bonus,1.41,386,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.4819,0.3451
DEF,2.0,5.0,0,bonus,1.2394,234,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.4145,0.3337
DEF,2.0,5.0,1,bonus,1.5,236,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.4958,0.337
DEF,3.0,1.0,0,bonus,0.4938,250,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.104,0.2112
DEF,3.0,1.0,1,bonus,0.3853,246,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0854,0.2116
DEF,3.0,2.0,0,bonus,0.4667,453,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0993,0.2098
DEF,3.0,2.0,1,bonus,0.8647,450,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1756,0.209
DEF,3.0,3.0,0,bonus,0.8691,532,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1861,0.2158
DEF,3.0,3.0,1,bonus,1.0068,527,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.2163,0.2161
DEF,3.0,4.0,0,bonus,1.0677,575,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.233,0.2212
DEF,3.0,4.0,1,bonus,1.4041,571,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.317,0.221
DEF,3.0,5.0,0,bonus,1.5872,333,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.3393,0.2157
DEF,3.0,5.0,1,bonus,1.5556,326,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.3252,0.2151
DEF,4.0,1.0,0,bonus,0.2625,224,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0536,0.2118
DEF,4.0,1.0,1,bonus,0.52,217,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1106,0.2116
DEF,4.0,2.0,0,bonus,0.5076,398,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.108,0.211
DEF,4.0,2.0,1,bonus,0.8084,393,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.173,0.2113
DEF,4.0,3.0,0,bonus,0.9797,558,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.2061,0.2113
DEF,4.0,3.0,1,bonus,0.8798,548,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1861,0.2111
DEF,4.0,4.0,0,bonus,0.7999,459,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1678,0.2092
DEF,4.0,4.0,1,bonus,1.526,459,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.3159,0.2093
DEF,4.0,5.0,0,bonus,1.4305,301,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.3023,0.2106
DEF,4.0,5.0,1,bonus,2.1213,302,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.4503,0.2105
DEF,5.0,1.0,0,bonus,0.114,136,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0147,0.1086
DEF,5.0,1.0,1,bonus,0.3031,139,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0288,0.1097
DEF,5.0,2.0,0,bonus,0.5064,251,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0598,0.1058
DEF,5.0,2.0,1,bonus,0.7813,244,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.082,0.1054
DEF,5.0,3.0,0,bonus,0.7493,349,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0716,0.1093
DEF,5.0,3.0,1,bonus,1.0573,341,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1085,0.1102
DEF,5.0,4.0,0,bonus,0.7667,314,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0987,0.1149
DEF,5.0,4.0,1,bonus,1.6466,315,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1968,0.1148
DEF,5.0,5.0,0,bonus,0.8729,121,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0992,0.1098
DEF,5.0,5.0,1,bonus,3.8486,122,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.4016,0.1101
DEF,1.0,1.0,0,clean_sheets,0.6172,55,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.2545,0.4177
DEF,1.0,1.0,1,clean_sheets,0.6004,50,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.24,0.4164
DEF,1.0,2.0,0,clean_sheets,0.6468,177,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.2712,0.4172
DEF,1.0,2.0,1,clean_sheets,0.9548,173,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.3931,0.4171
DEF,1.0,3.0,0,clean_sheets,1.04,234,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.4487,0.4317
DEF,1.0,3.0,1,clean_sheets,0.692,234,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.3077,0.4312
DEF,1.0,4.0,0,clean_sheets,1.1875,207,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.4879,0.4265
DEF,1.0,4.0,1,clean_sheets,1.4542,205,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.6244,0.4273
DEF,1.0,5.0,0,clean_sheets,1.4678,130,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.6231,0.4253
DEF,1.0,5.0,1,clean_sheets,0.853,127,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.378,0.4263
DEF,2.0,1.0,0,clean_sheets,0.3972,181,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.116,0.3203
DEF,2.0,1.0,1,clean_sheets,0.6091,177,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1808,0.3186
DEF,2.0,2.0,0,clean_sheets,0.613,247,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.2065,0.3143
DEF,2.0,2.0,1,clean_sheets,0.8834,237,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.2785,0.3145
DEF,2.0,3.0,0,clean_sheets,0.8482,435,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.2782,0.3307
DEF,2.0,3.0,1,clean_sheets,0.8737,431,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.2807,0.3319
DEF,2.0,4.0,0,clean_sheets,1.1001,385,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.3818,0.3459
DEF,2.0,4.0,1,clean_sheets,1.3642,386,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.4689,0.3466
DEF,2.0,5.0,0,clean_sheets,1.4638,234,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.4829,0.3301
DEF,2.0,5.0,1,clean_sheets,1.5691,236,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.5212,0.3321
DEF,3.0,1.0,0,clean_sheets,0.3327,250,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.084,0.257
DEF,3.0,1.0,1,clean_sheets,0.5059,246,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1463,0.2581
DEF,3.0,2.0,0,clean_sheets,0.4837,453,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1302,0.2573
DEF,3.0,2.0,1,clean_sheets,0.9661,450,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.2333,0.2558
DEF,3.0,3.0,0,clean_sheets,0.8978,532,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.235,0.2598
DEF,3.0,3.0,1,clean_sheets,0.9958,527,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.2505,0.2603
DEF,3.0,4.0,0,clean_sheets,1.0959,575,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.2957,0.273
DEF,3.0,4.0,1,clean_sheets,1.3583,571,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.3765,0.2731
DEF,3.0,5.0,0,clean_sheets,1.6712,333,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.4474,0.2634
DEF,3.0,5.0,1,clean_sheets,1.3402,326,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.3344,0.2623
DEF,4.0,1.0,0,clean_sheets,0.2332,224,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0536,0.2387
DEF,4.0,1.0,1,clean_sheets,0.302,217,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0737,0.2383
DEF,4.0,2.0,0,clean_sheets,0.5849,398,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1407,0.2383
DEF,4.0,2.0,1,clean_sheets,1.1705,393,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.2774,0.2384
DEF,4.0,3.0,0,clean_sheets,0.9937,558,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.2348,0.238
DEF,4.0,3.0,1,clean_sheets,0.8443,548,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.2007,0.238
DEF,4.0,4.0,0,clean_sheets,0.6837,459,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1656,0.2414
DEF,4.0,4.0,1,clean_sheets,1.586,459,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.3813,0.2419
DEF,4.0,5.0,0,clean_sheets,1.4316,301,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.3455,0.2391
DEF,4.0,5.0,1,clean_sheets,1.8493,302,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.4437,0.2391
DEF,5.0,1.0,0,clean_sheets,0.0,136,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0,0.1166
DEF,5.0,1.0,1,clean_sheets,0.0,139,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0,0.1171
DEF,5.0,2.0,0,clean_sheets,0.6145,251,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0876,0.1154
DEF,5.0,2.0,1,clean_sheets,0.9907,244,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0861,0.1156
DEF,5.0,3.0,0,clean_sheets,1.0856,349,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1175,0.123
DEF,5.0,3.0,1,clean_sheets,0.9987,341,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1144,0.1245
DEF,5.0,4.0,0,clean_sheets,0.7058,314,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1115,0.1361
DEF,5.0,4.0,1,clean_sheets,1.5852,315,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.219,0.1349
DEF,5.0,5.0,0,clean_sheets,0.6729,121,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.1157,0.123
DEF,5.0,5.0,1,clean_sheets,3.3953,122,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.4016,0.1246
DEF,1.0,1.0,0,expected_assists,0.3487,38,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0226,0.0703
DEF,1.0,1.0,1,expected_assists,0.6616,35,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0411,0.0686
DEF,1.0,2.0,0,expected_assists,0.652,120,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0493,0.0705
DEF,1.0,2.0,1,expected_assists,0.8519,116,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0623,0.0705
DEF,1.0,3.0,0,expected_assists,1.2586,141,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0811,0.0674
DEF,1.0,3.0,1,expected_assists,1.1391,141,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0798,0.0679
DEF,1.0,4.0,0,expected_assists,1.0731,119,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0613,0.0613
DEF,1.0,4.0,1,expected_assists,0.9603,118,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0555,0.0613
DEF,1.0,5.0,0,expected_assists,1.257,81,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0935,0.067
DEF,1.0,5.0,1,expected_assists,1.1874,78,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0826,0.067
DEF,2.0,1.0,0,expected_assists,0.4677,117,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0293,0.0632
DEF,2.0,1.0,1,expected_assists,0.9062,121,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0567,0.0633
DEF,2.0,2.0,0,expected_assists,1.0834,174,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0666,0.0616
DEF,2.0,2.0,1,expected_assists,1.1546,166,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0717,0.0619
DEF,2.0,3.0,0,expected_assists,0.8632,267,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0551,0.0629
DEF,2.0,3.0,1,expected_assists,1.0947,265,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0688,0.0629
DEF,2.0,4.0,0,expected_assists,0.8826,227,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0559,0.0629
DEF,2.0,4.0,1,expected_assists,1.0949,229,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0682,0.0628
DEF,2.0,5.0,0,expected_assists,0.9595,150,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0596,0.0625
DEF,2.0,5.0,1,expected_assists,1.3802,147,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.087,0.0629
DEF,3.0,1.0,0,expected_assists,0.8409,153,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0368,0.0426
DEF,3.0,1.0,1,expected_assists,0.7994,152,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0335,0.0423
DEF,3.0,2.0,0,expected_assists,0.804,281,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0353,0.0436
DEF,3.0,2.0,1,expected_assists,1.0295,281,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0445,0.0437
DEF,3.0,3.0,0,expected_assists,0.9967,277,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0425,0.0425
DEF,3.0,3.0,1,expected_assists,1.0481,275,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0444,0.0424
DEF,3.0,4.0,0,expected_assists,0.832,306,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0337,0.0407
DEF,3.0,4.0,1,expected_assists,1.1408,306,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0456,0.0407
DEF,3.0,5.0,0,expected_assists,0.9625,185,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0398,0.0422
DEF,3.0,5.0,1,expected_assists,1.5745,182,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0692,0.0425
DEF,4.0,1.0,0,expected_assists,0.5102,135,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0242,0.0404
DEF,4.0,1.0,1,expected_assists,0.5141,133,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0196,0.0404
DEF,4.0,2.0,0,expected_assists,0.7132,246,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0332,0.0431
DEF,4.0,2.0,1,expected_assists,1.077,243,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0475,0.0428
DEF,4.0,3.0,0,expected_assists,1.0074,307,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.04,0.0397
DEF,4.0,3.0,1,expected_assists,0.9613,305,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0375,0.0398
DEF,4.0,4.0,0,expected_assists,1.2386,268,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.043,0.036
DEF,4.0,4.0,1,expected_assists,1.2555,265,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0418,0.0351
DEF,4.0,5.0,0,expected_assists,0.8303,172,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0388,0.0395
DEF,4.0,5.0,1,expected_assists,1.5095,176,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0587,0.0398
DEF,5.0,1.0,0,expected_assists,0.5394,88,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0178,0.0368
DEF,5.0,1.0,1,expected_assists,0.3737,87,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0146,0.037
DEF,5.0,2.0,0,expected_assists,0.9597,160,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0329,0.0379
DEF,5.0,2.0,1,expected_assists,1.0388,155,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0416,0.038
DEF,5.0,3.0,0,expected_assists,0.9978,202,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0365,0.0368
DEF,5.0,3.0,1,expected_assists,1.2795,193,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0461,0.0366
DEF,5.0,4.0,0,expected_assists,0.8055,171,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0248,0.0332
DEF,5.0,4.0,1,expected_assists,1.3813,175,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.049,0.0333
DEF,5.0,5.0,0,expected_assists,0.794,71,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0314,0.0365
DEF,5.0,5.0,1,expected_assists,1.3211,72,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0522,0.0361
DEF,1.0,1.0,0,expected_goals,1.486,38,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0755,0.061
DEF,1.0,1.0,1,expected_goals,0.7136,35,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.04,0.0597
DEF,1.0,2.0,0,expected_goals,0.5284,120,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0322,0.059
DEF,1.0,2.0,1,expected_goals,0.8342,116,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0539,0.0593
DEF,1.0,3.0,0,expected_goals,1.2337,141,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0702,0.0571
DEF,1.0,3.0,1,expected_goals,1.242,141,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0773,0.0577
DEF,1.0,4.0,0,expected_goals,0.7079,119,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0326,0.0509
DEF,1.0,4.0,1,expected_goals,1.16,118,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0567,0.0505
DEF,1.0,5.0,0,expected_goals,0.7134,81,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0443,0.0563
DEF,1.0,5.0,1,expected_goals,1.505,78,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0796,0.0564
DEF,2.0,1.0,0,expected_goals,0.6847,117,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0385,0.0561
DEF,2.0,1.0,1,expected_goals,1.1399,121,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0639,0.056
DEF,2.0,2.0,0,expected_goals,0.8794,174,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0511,0.0562
DEF,2.0,2.0,1,expected_goals,1.2647,166,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0708,0.0562
DEF,2.0,3.0,0,expected_goals,0.7042,267,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0401,0.0555
DEF,2.0,3.0,1,expected_goals,0.9151,265,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0516,0.0554
DEF,2.0,4.0,0,expected_goals,0.8385,227,5,"2020-21,2021-22,2022-23,2023-24,2024-25",0.0432,0.0532
